layer_types,ratio,k,k error,kx,kx error,ky,ky error,kz,kz error
[1 2 1 2 2 1 2 2 1 2],0.6,0.1494016783053807,0.006214277654018329,0.17375560996717798,0.012997321550468085,0.10854430644927641,0.009469775163134343,0.16590511849968767,0.0071455843894144225
[2 2 1 1 1 2 2 2 1 2],0.6,0.1500368763241238,0.004918526788039843,0.1856724152959604,0.013373446902688603,0.10319800327006974,0.004848591417531222,0.1612402104063416,0.01095445124236653
[2 2 2 2 1 1 2 1 1 2],0.6,0.1570528749220327,0.008586558891296146,0.1748556598759776,0.012038810802592139,0.11760464229985976,0.0074747898092452315,0.1786983225902607,0.0183287075816662
[2 2 2 1 1 2 2 1 1 2],0.6,0.1578721324124869,0.006962677884792997,0.1881711869302914,0.016600107105059624,0.09886452841756053,0.009726664379372764,0.1865806818896082,0.011840424828437878
[1 2 2 2 2 2 2 1 1 1],0.6,0.171531443402433,0.004439601781500921,0.2078938507637898,0.012379049801404507,0.12470401815049659,0.0049233576710280705,0.18199646129301267,0.004626014824160894
[2 2 2 2 2 1 1 1 1 2],0.6,0.1805489510971514,0.006621928665812577,0.2128158545337063,0.012854047460351743,0.1403072100305044,0.01124739271760157,0.1885237887272433,0.012546169712586246
[1 2 2 2 2 1 2 1 2 1],0.6,0.1532100951649657,0.006035379674123073,0.2007710855865656,0.013602756012658703,0.09794531254902879,0.00668241358714003,0.1609138873593025,0.010822187977747793
[2 2 2 1 2 2 1 1 2 2],0.7000000000000001,0.1406876374364836,0.008535074937834293,0.16918950469048338,0.015551150887953067,0.10614602014772778,0.008440246664700208,0.14672738747124003,0.01114819494952744
[2 1 2 2 2 2 1 1 2 2],0.7000000000000001,0.14760646121738952,0.004050494544382614,0.17999731580686443,0.011642378107516888,0.10631750630254248,0.0067767495365439615,0.15650456154276168,0.012232389968265055
[2 2 1 2 1 2 2 2 1 2],0.7000000000000001,0.15972289733136533,0.0066676464184520865,0.19601918432700943,0.017760504365954055,0.11337674825255997,0.005010555241593083,0.16977275941452694,0.01086653525235795
[2 2 2 2 2 1 2 1 1 2],0.7000000000000001,0.165887530583799,0.007789622520451423,0.1972714291107403,0.017096062358314262,0.1268684484320069,0.00740060456860802,0.1735227142086493,0.00978415487764373
[2 2 2 1 2 1 2 1 2 2],0.7000000000000001,0.164331582426806,0.006123033829569952,0.1985104510597902,0.01244693497799549,0.1133646683379849,0.008346622175329332,0.1811196278826433,0.013405678438663266
[2 2 2 1 2 2 1 1 2 2],0.7000000000000001,0.1546770117244553,0.005806979309175257,0.1785234388252379,0.015748496325967764,0.11466014412944874,0.005171156004675277,0.1708474522186795,0.008338063591229104
[2 2 2 2 2 1 2 2 1 1],0.7000000000000001,0.1535750835157988,0.01011716496766735,0.1747493044678268,0.017803381213178867,0.11111615142199409,0.01036806885107641,0.1748597946575754,0.01129195110613413
[2 2 2 2 1 1 2 2 1 2],0.7000000000000001,0.1563475959653095,0.006306342258327499,0.17342224187891722,0.0101807251513906,0.11829801403441742,0.007522011349504683,0.1773225319825939,0.01114801906842093
[2 2 2 2 1 2 1 2 2 1],0.7000000000000001,0.15123407592725507,0.004656084275413166,0.1708108872409363,0.009664766899209698,0.10099003963398376,0.006262233544795598,0.1819013009068455,0.008851818492785504
[2 2 2 1 2 2 2 1 1 2],0.7000000000000001,0.1536691120924896,0.005747264338938619,0.16356168163222515,0.012335572407447818,0.10973539241957705,0.0043019544352291906,0.1877102622256666,0.013162186171354062
[2 2 1 2 1 2 2 2 2 2],0.8,0.162608148991329,0.005092560411330221,0.1758153533477381,0.011800971348938627,0.13298290837895121,0.01024041204371068,0.17902618524729771,0.009267461155599607
[2 2 2 1 2 2 2 2 2 1],0.8,0.15512692251651042,0.006611806294236228,0.1733613004868491,0.009758036430408576,0.1426322169568058,0.0082274275504254,0.1493872501058757,0.012529755595484143
[2 2 2 2 2 2 2 1 1 2],0.8,0.1629840667671773,0.007753590716405193,0.1794339359432811,0.014741755332911409,0.11993373201758392,0.009721927437446282,0.1895845323406672,0.01719773630831899
[2 2 2 2 2 2 2 2 1 1],0.8,0.17216073026656528,0.007658130559434222,0.1797995680760402,0.014404990227433988,0.1326791918550792,0.010839591757203969,0.20400343086857622,0.014977979863626584
[2 1 2 1 2 2 2 2 2 2],0.8,0.16956950297517148,0.005297786376527905,0.1976474282505492,0.00991444526531615,0.11868724214274391,0.008012642344555664,0.1923738385322217,0.01355388514954376
[1 2 2 2 1 2 2 2 2 2],0.8,0.16163333947985098,0.007583842412678952,0.1656669633782735,0.011863385765947393,0.14584109800515918,0.010366126359249092,0.17339195705612018,0.014979373719199175
[2 2 2 2 2 1 2 1 2 2],0.8,0.1512263723095724,0.0058828619031242564,0.14670282752824568,0.013288952017342637,0.12652795359855504,0.007364012573520687,0.1804483358019165,0.010057117907943586
[2 2 2 2 1 2 2 2 1 2],0.8,0.1606315256826897,0.007981381781905848,0.17457330304477192,0.01562920476640239,0.1352612882478855,0.009770605422776434,0.1720599857554122,0.011533526170609626
[2 1 2 2 2 2 2 2 2 1],0.8,0.1676706883985287,0.004576800421044636,0.1959754203647609,0.00903399327637182,0.13428582863749008,0.007604743941981169,0.1727508161933351,0.014877538823975129
[2 2 1 2 2 2 1 2 2 2],0.8,0.15900236233917142,0.007575913389996797,0.1830505259774287,0.012670136606542804,0.11634670473333841,0.00915871490038564,0.17760985630674692,0.011614065426038956
[2 2 2 2 2 2 2 2 2 1],0.9,0.1687356905789873,0.0060780387226672915,0.18503401077195758,0.01337706345597209,0.1491318460962035,0.010727684217342243,0.1720412148688009,0.007707577455276417
[2 2 2 2 2 1 2 2 2 2],0.9,0.1662655427550679,0.006653844926430639,0.1854456792407709,0.01496696881673923,0.1529283093788518,0.012574720886730539,0.16042263964558098,0.01130024188875382
[1 2 2 2 2 2 2 2 2 2],0.9,0.1691975785408476,0.007931554855995235,0.18194248733643148,0.013262641970660557,0.14679327147376195,0.011467491818787092,0.1788569768123494,0.010813229984499682
[2 2 2 2 2 2 1 2 2 2],0.9,0.1585391483397123,0.00528854467492522,0.1627320979105433,0.009343812522070172,0.13424497817499498,0.01097982465673843,0.1786403689335988,0.014329215032658408
[2 2 2 2 2 2 2 2 2 1],0.9,0.18409044296436522,0.008142343381942353,0.18232702588282107,0.009088883162895184,0.16042621086982362,0.011113141548551645,0.209518092140451,0.011945965851391464
[2 2 2 2 1 2 2 2 2 2],0.9,0.16250515603686091,0.0051104076999354524,0.1662266839066759,0.011615667139525733,0.14563080770418096,0.007917369073978855,0.17565797649972598,0.011558273527375477
[2 1 2 2 2 2 2 2 2 2],0.9,0.15704353664162518,0.006044433253372774,0.1847197902557202,0.01282141853917117,0.13115982973703483,0.009567096553779878,0.15525098993212008,0.013856967845405199
[2 2 2 2 2 2 2 2 1 2],0.9,0.178384117684506,0.004541135346603383,0.20216310802382367,0.011465353137619547,0.1488077632728639,0.007318963036745185,0.1841814817568305,0.009569212892327367
[2 2 1 2 2 2 2 2 2 2],0.9,0.1559919740971583,0.004870591416296288,0.1591045233097817,0.00873756083613993,0.1377489743223086,0.011877785628510629,0.17112242465938432,0.009974780129021013
[2 2 2 2 2 2 2 2 1 2],0.9,0.1710152881086185,0.006782734142951827,0.17258904122362323,0.012932659741028784,0.1675632972708772,0.010856826104466437,0.17289352583135498,0.01194440776351568
